epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,25868.4,0.94656,1.11324,1.15145,0.50881,0.27875,0.25755,0.15026,1.43563,2.75939,1.3515,0.004192,0.004192,0.004192
90,26158.9,0.96207,1.12107,1.14869,0.49837,0.28054,0.25452,0.14854,1.43541,2.74444,1.35075,0.004126,0.004126,0.004126
91,26449.1,0.95191,1.127,1.14944,0.50815,0.2729,0.25101,0.14938,1.43552,2.75497,1.35046,0.00406,0.00406,0.00406
92,26738.6,0.9347,1.10445,1.13985,0.50387,0.27275,0.25112,0.14981,1.43673,2.73672,1.35099,0.003994,0.003994,0.003994
93,27026.2,0.94049,1.10215,1.14499,0.50987,0.27145,0.24884,0.1488,1.43881,2.72281,1.35377,0.003928,0.003928,0.003928
94,27312.7,0.93832,1.07794,1.14648,0.51625,0.27691,0.25351,0.14982,1.44227,2.70311,1.3578,0.003862,0.003862,0.003862
95,27602.6,0.92705,1.07377,1.13775,0.52477,0.28299,0.25349,0.15045,1.4431,2.72001,1.35909,0.003796,0.003796,0.003796
96,27889.7,0.93352,1.0835,1.13959,0.51215,0.28075,0.25406,0.15103,1.43885,2.74297,1.35575,0.00373,0.00373,0.00373
97,28180,0.93764,1.10021,1.14441,0.50622,0.27574,0.25483,0.15043,1.43708,2.74768,1.35511,0.003664,0.003664,0.003664
98,28472.7,0.92832,1.07982,1.13597,0.50989,0.27972,0.25538,0.15145,1.43786,2.74244,1.35498,0.003598,0.003598,0.003598
99,28766.7,0.93638,1.07706,1.14366,0.49774,0.27471,0.25513,0.15196,1.4372,2.72783,1.3544,0.003532,0.003532,0.003532
100,29057.6,0.92181,1.06432,1.13357,0.50403,0.27795,0.25704,0.15249,1.43584,2.7136,1.35339,0.003466,0.003466,0.003466
101,29346.5,0.91805,1.06256,1.13287,0.48616,0.28268,0.2538,0.15258,1.43742,2.71022,1.35518,0.0034,0.0034,0.0034
102,29637.5,0.91064,1.05249,1.1328,0.50237,0.28365,0.25405,0.15246,1.43549,2.69831,1.35384,0.003334,0.003334,0.003334
103,29928,0.90811,1.03724,1.12328,0.50358,0.28147,0.25632,0.15334,1.43348,2.67562,1.35284,0.003268,0.003268,0.003268
104,30219.7,0.92089,1.04693,1.13363,0.5053,0.28022,0.25897,0.15364,1.43313,2.66562,1.35161,0.003202,0.003202,0.003202
105,30515.6,0.92032,1.05691,1.13483,0.49832,0.28334,0.26033,0.15335,1.43176,2.6632,1.35011,0.003136,0.003136,0.003136
106,30808,0.90959,1.04931,1.13117,0.49467,0.2839,0.2602,0.15298,1.43032,2.6656,1.3489,0.00307,0.00307,0.00307
107,31102.3,0.9058,1.04703,1.13075,0.49132,0.27948,0.26061,0.1535,1.43005,2.65153,1.3486,0.003004,0.003004,0.003004
108,31393.6,0.90577,1.03625,1.12564,0.4937,0.27901,0.26096,0.1537,1.42842,2.6459,1.34645,0.002938,0.002938,0.002938
109,31680.4,0.8981,1.0364,1.12606,0.49548,0.28298,0.26128,0.15404,1.42669,2.63947,1.34569,0.002872,0.002872,0.002872
110,31971.5,0.89588,1.01898,1.11576,0.49701,0.28307,0.26132,0.15388,1.42609,2.62714,1.34628,0.002806,0.002806,0.002806
